index	SequenceA	SequenceB
2251	AY271690.1_2096-2147	AJ006287.1_1634-1685
2252	AJ535026.1_23-74	AY518989.1_46-97
2253	AF484515.1_1293-1344	AF484514.1_1293-1344
2254	AF529572.1_1302-1353	AJ313421.1_50-101
2255	AY519102.1_46-97	AF156829.1_45-96
2256	AY535764.1_171-222	AF110977.1_1563-1614
2257	AJ286134.1_55-106	L11757.1_1284-1335
2258	AY535672.1_171-222	AY535685.1_171-222
2259	AY519093.1_46-97	AY535721.1_171-222
2260	AJ405958.1_1-52	AY535790.1_168-219
2261	AB074078.1_1326-1377	AF286232.1_1418-1469
2262	AY304830.1_1283-1334	AY535705.1_171-222
2263	AF024180.1_90-141	AF443109.1_1467-1518
2264	AY371131.1_1275-1326	AY227107.1_1438-1489
2265	U29403.1_1293-1344	L11793.1_1296-1347
2266	AF413967.1_454-505	AF442568.1_1448-1499
2267	AY331287.1_1296-1347	AY518982.1_46-97
2268	AF484488.1_1290-1341	AY518954.1_46-97
2269	AY463237.1_1517-1568	AY535673.1_171-222
2270	AY206653.1_1290-1341	AF411965.1_2075-2126
2271	AY371125.1_1272-1323	AY371160.1_1278-1329
2272	AJ437040.1_1293-1344	AF024134.1_165-216
2273	AF391259.1_1284-1335	AY535748.1_171-222
2274	AJ237570.1_732-783	AF457090.1_1293-1344
2275	AY519023.1_46-97	AY371121.1_1290-1341
2276	AF457086.1_1281-1332	AY679786.1_1293-1344
2277	AF024236.1_120-171	AY535768.1_171-222
2278	AY268493.1_1332-1383	AY165264.1_240-291
2279	AY165211.1_236-287	AF024385.1_93-144
2280	AY484784.1_1-48	AF075702.1_1407-1458
2281	AF023942.1_90-141	AF292784.1_80-131
2282	AY237165.1_1437-1488	AY093605.1_1290-1341
2283	AJ313412.1_46-97	AY455781.1_1525-1576
2284	AF024271.1_120-171	AY090763.1_698-749
2285	AY165278.1_239-290	AF024148.1_90-141
2286	AY519021.1_46-97	AB078703.1_1299-1350
2287	AF538302.1_2108-2159	U29411.1_1299-1350
2288	AY253319.1_1293-1344	AJ488926.1_1306-1357
2289	AY043176.1_1284-1335	AY519120.1_46-97
2290	U73090.1_314-365	AY074891.1_1446-1497
2291	AJ313419.1_47-98	AJ249236.1_1281-1332
2292	AY093603.1_1290-1341	AF484494.1_1296-1347
2293	AY561244.1_1200-1251	AY064301.1_1-52
2294	AY165194.1_234-285	AJ286137.1_52-103
2295	AF460972.1_1469-1520	AF413966.1_453-504
2296	AY304966.1_1283-1334	AF484500.1_1293-1344
2297	AY140570.1_501-552	AY322191.1_1547-1598
2298	AY304954.1_1283-1334	AY331284.1_1299-1350
2299	AY519027.1_46-97	AF349338.1_33-84
2300	AY519001.1_46-97	AY332237.1_1287-1338
2301	AY519109.1_46-97	M73477.1_3-54
2302	L11792.1_1299-1350	AF293424.1_1-52
2303	AF256205.1_2084-2135	AJ313404.1_47-98
2304	AY358038.1_1284-1335	AY492773.1_807-858
2305	AF023977.1_120-171	AY371169.1_1296-1347
2306	AF024076.1_111-162	AF024429.1_30-81
2307	U29422.1_1296-1347	U29412.1_1300-1351
2308	AY535715.1_171-222	AF282963.1_1-52
2309	AY140567.1_1116-1167	L11799.1_1278-1329
2310	AF323237.1_39-90	AY518962.1_46-97
2311	AF460974.1_1469-1517	AF349374.1_33-84
2312	AF450096.1_1526-1577	L11801.1_1299-1350
2313	AF023953.1_90-141	AB074055.1_1347-1398
2314	AJ313403.1_52-103	AB078712.1_1281-1332
2315	AY358046.1_1293-1344	AY492784.1_849-900
2316	AY492781.1_813-864	AJ313407.1_51-102
2317	AY492778.1_819-870	AY585265.1_1481-1532
2318	AF024104.1_120-171	AY682547.1_1576-1627
2319	AF443086.1_1449-1500	AB078696.1_1281-1332
2320	AY165240.1_237-288	AF247522.1_1233-1284
2321	AF286240.1_914-965	AJ313391.1_51-102
2322	AJ405959.1_1-52	AB078714.1_1275-1326
2323	AY181079.1_46-97	AF484505.1_1293-1344
2324	L11765.1_1308-1359	AJ535010.1_23-74
2325	AF042103.1_1445-1496	AF349382.1_33-84
2326	AJ508597.1_2082-2133	AF349342.1_33-84
2327	AF323246.1_67-118	AY519118.1_46-97
2328	AY304841.1_1280-1331	AY455780.1_1658-1709
2329	AB098330.1_2063-2114	AY140125.1_1160-1210
2330	AF075701.1_1412-1463	AF323243.1_20-71
2331	AY140568.1_882-933	AY492768.1_849-900
2332	AF391255.1_1284-1335	AF156831.1_45-96
2333	AY358062.1_1284-1335	AY371164.1_1275-1326
2334	AF212291.1_1229-1280	AY165249.1_224-275
2335	AY518985.1_46-97	AJ534991.1_23-74
2336	AF293420.1_1-52	Y13196.1_1290-1341
2337	AY037277.1_1275-1326	AF071473.1_1284-1335
2338	AJ286142.1_52-103	AY563170.1_1281-1332
2339	AF361874.1_1274-1325	AF286238.1_1444-1495
2340	AY165236.1_234-285	AF443099.1_1450-1501
2341	AY519044.1_46-97	AY008717.1_1277-1328
2342	AY304935.1_1283-1334	AF484485.1_1293-1344
2343	AY535675.1_171-222	AY463223.1_1522-1573
2344	AY463235.1_1523-1574	AF061641.1_1489-1540
2345	AY535761.1_171-222	AF323218.1_27-78
2346	AY492772.1_840-891	AY275556.1_1296-1347
2347	L11766.1_1278-1329	AF484509.1_1290-1341
2348	AF282969.1_1-52	U21135.1_2084-2135
2349	AY371168.1_1287-1338	AF247521.1_1212-1263
2350	U88824.1_1437-1488	AF024290.1_120-171
2351	AY492775.1_858-909	AY518998.1_46-97
2352	AJ320484.1_2112-2163	AY492774.1_846-897
2353	AY484783.1_10-61	AY165260.1_236-287
2354	AY463231.1_1520-1571	AF024256.1_120-171
2355	AY140107.1_1168-1216	AY519116.1_46-97
2356	AY535716.1_171-222	AY535755.1_171-222
2357	AY535676.1_171-222	AF495844.1_33-84
2358	AY519114.1_46-97	AY518975.1_46-97
2359	AB097866.1_1400-1451	AY253311.1_1283-1334
2360	AY536238.1_1336-1387	AY563169.1_1269-1320
2361	AF408631.1_1527-1578	AF110973.1_1563-1614
2362	AF179368.1_1390-1441	AY371170.1_1287-1338
2363	AY535709.1_171-222	AY262830.1_1287-1338
2364	AF289550.1_1462-1513	AF443098.1_1455-1506
2365	AF457076.1_1284-1335	AJ293336.1_52-103
2366	AY331294.1_1286-1337	AY518978.1_46-97
2367	AY455785.1_1517-1568	L11776.1_1305-1356
2368	AY158534.1_1419-1470	AF484506.1_1293-1344
2369	AJ237565.1_2095-2146	AJ313405.1_46-97
2370	AY304867.1_1280-1331	AF484499.1_1287-1338
2371	AY371130.1_1275-1326	AF323244.1_30-81
2372	AY165283.1_224-275	AJ313410.1_52-103
2373	AJ405950.1_1-52	AY519071.1_46-97
2374	AY561242.1_1290-1341	AF484477.1_1290-1341
2375	AY518946.1_46-97	AF323234.1_74-125
2376	AF024274.1_120-171	U53645.1_165-216
2377	AY304928.1_1283-1334	AF024358.1_90-141
2378	AF212283.1_1212-1263	AF457053.1_1284-1335
2379	AF484480.1_1290-1341	AF292832.1_80-131
2380	AF349367.1_33-84	AF484491.1_1284-1335
2381	AY519089.1_46-97	AY519060.1_46-97
2382	AF156817.1_45-96	AF024295.1_120-171
2383	AY519106.1_46-97	AF443113.1_1461-1512
2384	AY267301.1_2-53	AY519064.1_46-97
2385	AY585268.1_1497-1548	L11784.1_1299-1350
2386	AF156830.1_45-96	AY304926.1_1277-1328
2387	AF024001.1_120-171	AF490973.1_1299-1350
2388	AF146728.1_1429-1480	AF349321.1_33-84
2389	AY535785.1_168-219	AJ583726.1_52-103
2390	AF024244.1_90-141	AF349390.1_33-84
2391	AY165254.1_238-289	AF349324.1_33-84
2392	AF024112.1_120-171	AF024163.1_90-141
2393	AY165242.1_242-293	AF443089.1_1446-1497
2394	M73474.1_3-54	AY206661.1_1311-1362
2395	AY077118.1_12-63	AY423387.1_1620-1671
2396	AY535678.1_171-222	L03696.1_1296-1347
2397	AY322185.1_1538-1589	AF024394.1_96-147
2398	AY535707.1_171-222	AJ437049.1_1305-1356
2399	AY519026.1_46-97	AB074051.1_1350-1401
2400	AF156820.1_43-94	AY206658.1_1293-1344
2401	AY037267.1_1275-1326	AY352654.1_1459-1510
2402	AY165210.1_238-289	AY518958.1_46-97
2403	AF286228.1_1423-1474	AF286242.1_1553-1604
2404	AY255823.1_1281-1332	AY304846.1_1280-1331
2405	AY165255.1_235-286	AF247519.1_1233-1284
2406	AY518951.1_46-97	AY535663.1_171-222
2407	AJ276595.1_1390-1441	AY463220.1_1527-1578
2408	AY492760.1_843-894	AY118165.1_1413-1464
2409	AF484493.1_1290-1341	AF377959.1_1281-1332
2410	AY181067.1_27-78	AF413996.1_454-505
2411	AF061640.1_1490-1541	AB078700.1_1281-1332
2412	AF533141.1_1281-1332	AF443080.1_1454-1505
2413	AY304885.1_1280-1331	AF064699.1_2107-2158
2414	AJ313393.1_52-103	AY535665.1_171-222
2415	AY165192.1_239-290	AY492788.1_854-904
2416	AY371138.1_1272-1323	AY140164.1_1155-1204
2417	AY535780.1_168-219	M73475.1_3-54
2418	AY371135.1_1275-1326	U92049.1_1281-1332
2419	AF484512.1_1296-1347	AY519079.1_46-97
2420	AF349350.1_33-84	AY518983.1_46-97
2421	AF316544.1_1313-1364	AY519105.1_49-100
2422	AF484502.1_1293-1344	AF349402.1_33-84
2423	AY282066.1_891-942	AY165212.1_37-88
2424	AF538303.1_2105-2156	AF323215.1_27-78
2425	AY206657.1_1299-1350	AY140155.1_1176-1225
2426	AF024164.1_90-141	AY585264.1_1496-1547
2427	AY165188.1_230-281	AY518997.1_46-97
2428	AY371143.1_1293-1344	U53661.1_165-216
2429	AF024425.1_123-174	AY519007.1_46-97
2430	AY519075.1_46-97	AY519055.1_46-97
2431	AY441922.1_80-131	AY518941.1_46-97
2432	AY253312.1_1281-1332	AY037275.1_1275-1326
2433	AF293421.1_1-52	AY484772.1_1-51
2434	AY253315.1_1287-1338	AF349396.1_33-84
2435	AY165218.1_226-277	AY518988.1_46-97
2436	AY484777.1_1-50	AY037276.1_1287-1338
2437	AJ535007.1_23-74	AF484481.1_1293-1344
2438	AF292814.1_80-131	AY165187.1_218-269
2439	AF323230.1_34-85	AF292842.1_80-131
2440	AF293427.1_1-52	AF484513.1_1296-1347
2441	AY253309.1_1281-1332	AY492757.1_849-900
2442	AF069671.1_1308-1359	AF197338.1_2038-2089
2443	AY206651.1_1302-1353	AY037274.1_1293-1344
2444	AF349360.1_33-84	AY242596.1_511-562
2445	L11791.1_1290-1341	AJ313413.1_46-97
2446	AY228556.1_2066-2117	AB078695.1_1281-1332
2447	AF484518.1_1281-1332	AF361876.1_1282-1333
2448	AF069670.1_1289-1340	AF457079.1_1284-1335
2449	AJ405955.1_1-52	AF323240.1_31-82
2450	AY535692.1_171-222	AY535725.1_171-222
2451	AY304873.1_1274-1325	AF391257.1_1282-1333
2452	AF457088.1_1278-1329	L11786.1_1287-1338
2453	AY518994.1_46-97	AF156840.1_71-122
2454	AJ313394.1_51-102	AF492624.1_1455-1506
2455	AF024218.1_90-141	AF023989.1_120-171
2456	AJ245481.2_2109-2160	AY140149.1_1173-1221
2457	AY206650.1_1302-1353	AJ405963.1_1-52
2458	AY535664.1_171-222	AJ534988.1_23-74
2459	AY165209.1_18-69	AY165263.1_237-288
2460	AY535758.1_171-222	AY535799.1_171-222
2461	AF067154.1_1449-1500	AY331283.1_1299-1350
2462	AY158533.1_1423-1474	AF457062.1_1284-1335
2463	AY371151.1_1284-1335	L11789.1_1281-1332
2464	AF286225.1_1419-1470	AJ313420.1_46-97
2465	AF292886.1_80-131	AF323213.1_27-78
2466	AY519015.1_46-97	AF323211.1_39-90
2467	AF024152.1_90-141	AF349369.1_33-84
2468	AF443081.1_1452-1503	AF443105.1_1450-1501
2469	AJ437046.1_1295-1346	AF156845.1_30-81
2470	AY519085.1_46-97	AF024071.1_111-162
2471	AY169814.1_328-411	AB081218.1_65-148
2472	AF457085.1_59-142	AB078714.1_65-148
2473	AY169804.1_341-424	AY451090.1_148-231
2474	AY118154.1_401-484	AF418368.1_65-148
2475	Z97075.1_19-102	U56339.1_89-172
2476	AY463231.1_304-387	AY178919.1_20-103
2477	AF103818.1_896-979	L11771.1_65-148
2478	Z97083.1_19-102	AY463233.1_299-382
2479	L11775.1_65-148	AY169804.1_341-424
2480	AY134985.1_65-148	L11796.1_65-148
2481	AY288858.1_65-148	AB034898.1_65-148
2482	AY371159.1_59-142	AF484485.1_59-142
2483	AY288889.1_65-148	U56340.1_68-151
2484	AY134913.1_65-148	AY255827.1_59-142
2485	AF484486.1_59-142	AB034894.1_65-148
2486	U56336.1_155-238	AY451226.1_148-231
2487	AF543951.1_38-121	AY037280.1_59-142
2488	AY288843.1_65-148	AF443078.1_234-317
2489	L11782.1_65-148	AF110973.1_344-427
2490	Z76043.1_36-119	AY451234.1_148-231
2491	AP005206.1_65-148	U56896.1_65-148
2492	AF529641.1_65-148	L32865.1_729-812
2493	AF110962.1_344-427	Z97093.1_19-102
2494	AF361874.1_61-144	M13136.1_852-935
2495	AY134975.1_65-148	AF191478.1_21-104
2496	AF286225.1_201-284	AY134936.1_65-148
2497	AB042480.1_65-148	U11549.1_65-148
2498	Z97080.1_19-102	AB034889.1_65-148
2499	AF386015.1_65-148	AF529639.1_65-148
2500	AY134961.1_65-148	AF411967.1_856-939
2501	AB044041.1_65-148	AY134924.1_65-148
2502	AY162224.1_866-949	AF084731.1_65-148
2503	AY049711.1_234-317	AJ252872.1_65-148
2504	AF110972.1_244-327	AF457051.1_59-142
2505	AY128254.1_65-148	AJ437045.1_65-148
2506	Z79529.1_65-148	U56890.1_65-148
2507	U43172.1_65-148	AB097873.1_223-306
2508	AF543954.1_38-121	AF418345.1_65-148
2509	AF084728.1_65-148	L11764.1_65-148
2510	AF286233.1_200-283	AF418413.1_65-148
2511	AF418469.1_65-148	AF190128.1_181-264
2512	AY038237.1_65-148	Z79533.1_65-148
2513	AY451100.1_148-231	AF443101.1_235-318
2514	AY128255.1_65-148	U56895.1_65-148
2515	AB081220.1_65-148	AB044060.1_65-148
2516	AF121509.1_65-148	AY255823.1_59-142
2517	M17449.1_851-934	U86771.1_97-180
2518	AB032740.1_823-906	AJ249238.1_65-148
2519	U56899.1_65-148	AB081229.1_65-148
2520	U56338.1_37-120	AF484514.1_59-142
2521	AF457064.1_59-142	L03706.1_65-148
2522	AF386064.1_65-148	Z97101.1_19-102
2523	AF529645.1_65-148	AF418415.1_65-148
2524	AF484500.1_59-142	AF491243.1_65-148
2525	AY451232.1_148-231	AF326170.1_64-147
2526	AF543973.1_38-121	AY206652.1_65-148
2527	AF491249.1_65-148	AJ437039.1_65-148
2528	AF084724.1_65-148	AF443077.1_230-313
2529	AY134964.1_65-148	AF286228.1_201-284
2530	U88823.1_203-287	AY037283.1_59-142
2531	AB078700.1_65-148	AY451218.1_148-231
2532	AB098332.1_852-935	AY371158.1_59-142
2533	AF073416.1_17-100	AF391263.1_65-148
2534	AF457090.1_59-142	Z79527.1_65-148
2535	L11785.1_65-148	AF030949.1_65-148
2536	AF533126.1_65-148	AY451087.1_148-231
2537	AF076474.1_223-306	AB042495.1_65-148
2538	AY451089.1_148-231	AB042477.1_65-148
2539	AY352656.1_218-301	AY451104.1_148-231
2540	AB034891.1_65-148	AY206650.1_65-148
2541	AF533134.1_65-148	AY451230.1_148-231
2542	AY352655.1_173-256	AY134958.1_65-148
2543	AF443080.1_232-315	K03457.1_176-259
2544	U52953.1_204-287	AB034896.1_65-148
2545	AF017899.1_10-93	U56337.1_62-145
2546	AF386024.1_65-148	AF457057.1_59-142
2547	M17451.1_368-451	AF386058.1_65-148
2548	AF084707.1_65-148	AF529646.1_65-148
2549	AY451099.1_148-231	AB044054.1_65-148
2550	AB081205.1_65-148	AF042101.1_856-939
2551	AJ488927.1_72-155	AJ271370.1_413-496
2552	AF110970.1_244-327	AY134968.1_65-148
2553	AY463219.1_303-386	U56897.1_65-148
2554	AF075702.1_176-259	AF418394.1_65-148
2555	AF017886.1_5-88	AF286253.1_334-417
2556	AB034883.1_75-158	L11799.1_65-148
2557	U29410.1_65-148	AY463220.1_303-386
2558	AF076998.1_206-289	AF529640.1_65-148
2559	AF443095.1_230-313	AY037273.1_59-142
2560	AF418454.1_48-131	AF386049.1_65-148
2561	AF017841.1_14-97	AF492624.1_230-313
2562	AY253855.1_65-148	AY451233.1_148-231
2563	AY339788.1_61-144	U34604.1_856-939
2564	Z79548.1_65-148	AF529573.1_87-170
2565	AF061640.1_256-339	Z79546.1_65-148
2566	AB074065.1_104-187	AY043174.1_65-148
2567	AF457076.1_59-142	AF423755.1_303-386
2568	AF110979.1_230-313	L11798.1_65-148
2569	AF386044.1_65-148	AY451107.1_147-230
2570	AF076475.1_204-287	AB081221.1_65-148
2571	U21135.1_853-936	AB081210.1_65-148
2572	AB025072.1_65-148	AF281709.1_65-148
2573	AY352275.1_856-939	AY371139.1_59-142
2574	AF286242.1_334-417	U29409.1_65-148
2575	AY451148.1_146-229	AY228556.1_856-939
2576	AY206654.1_65-148	AF457071.1_59-142
2577	AF408629.1_421-504	AF470709.1_65-148
2578	AY451185.1_148-231	AF491246.1_65-148
2579	AY371133.1_59-142	AY038234.1_65-148
2580	AY206656.1_65-148	AB081211.1_65-148
2581	AF418338.1_65-148	AF391254.1_65-148
2582	L11757.1_65-148	AY178931.1_20-103
2583	AJ437054.1_65-148	AB078697.1_65-148
2584	AY139482.1_35-118	AB097866.1_172-255
2585	X52154.1_891-974	AB042487.1_65-148
2586	AF084771.1_65-148	L11793.1_65-148
2587	AY451171.1_147-230	AY093605.1_65-148
2588	AY282173.1_65-148	Z76073.1_36-119
2589	AF442567.1_221-304	AY093604.1_65-148
2590	AB074055.1_113-196	AF361872.1_61-144
2591	AY282097.1_65-148	AF529572.1_80-163
2592	AB070352.1_871-954	AY451098.1_148-231
2593	AJ006022.1_412-495	AF484522.1_59-142
2594	AB044040.1_65-148	AF084760.1_65-148
2595	AF386040.1_65-148	AY275555.1_65-148
2596	AF286230.1_201-284	AF418448.1_65-148
2597	AF418455.1_48-131	AY161880.1_172-255
2598	AF543972.1_38-121	AB074074.1_101-184
2599	AF084667.1_65-148	AF071474.1_59-142
2600	L11756.1_65-148	AY038239.1_65-148
2601	Z97132.1_19-102	M27323.1_398-481
2602	AF159874.1_145-228	AF281703.1_65-148
2603	AF084746.1_65-148	AF119819.1_874-957
2604	AF491241.1_65-148	AF484487.1_59-142
2605	AY178929.1_20-103	AF191480.1_18-101
2606	AF184155.1_88-171	AF484490.1_59-142
2607	AB115515.1_65-148	AF281754.1_65-148
2608	AF457086.1_59-142	AF538307.1_854-937
2609	AF179368.1_171-254	AY451200.1_147-230
2610	AF408632.1_421-504	AJ293865.1_209-292
2611	AF386050.1_65-148	U29403.1_65-148
2612	AF418387.1_65-148	AF529654.1_65-148
2613	AY451120.1_148-231	AF481780.1_65-148
2614	AF543964.1_38-121	AY451142.1_148-231
2615	AF491245.1_65-148	U63632.1_177-260
2616	AF386046.1_65-148	AF084674.1_65-148
2617	AY134921.1_65-148	AF069946.1_51-134
2618	AB042493.1_65-148	AF084750.1_65-148
2619	AB115517.1_65-148	AB074077.1_86-169
2620	AY037272.1_59-142	AY371170.1_59-142
2621	AJ294940.1_148-231	AF443099.1_231-314
2622	AY451194.1_146-229	AF110963.1_344-427
2623	AJ437049.1_65-148	AF030947.1_65-148
2624	AY247251.1_104-187	AF533121.1_65-148
2625	AY288873.1_65-148	AF159873.1_147-230
2626	AJ249237.1_66-149	AF386062.1_65-148
2627	AF484519.1_59-142	AF286235.1_202-285
2628	U76035.1_65-148	AY247231.1_65-148
2629	AF073412.1_29-112	AF069948.1_74-157
2630	AF538306.1_853-936	AF326149.1_55-138
2631	AJ249235.1_65-148	AY288861.1_65-148
2632	AB044068.1_65-148	AB081227.1_65-148
2633	AF443085.1_229-312	AY451097.1_148-231
2634	AF084784.1_65-148	AF386042.1_65-148
2635	AF491248.1_65-148	AF418339.1_65-148
2636	AF529659.1_65-148	AF116062.1_50-133
2637	AB115518.1_65-148	AY451170.1_147-230
2638	AY371164.1_59-142	AF116051.1_50-133
2639	AF286229.1_201-284	AY288844.1_65-148
2640	AB044057.1_65-148	AF418340.1_65-148
2641	AF281702.1_65-148	AY161882.1_171-254
2642	AF069936.1_65-148	AF121499.1_65-148
2643	AF286236.1_352-435	AY074891.1_230-313
2644	AF391253.1_65-148	Z79549.1_65-148
2645	AF326159.1_63-146	AY288863.1_65-148
2646	U07016.1_71-154	AY139440.1_35-118
2647	U46016.1_234-317	AF286237.1_223-306
2648	U29419.1_65-148	AF443114.1_230-313
2649	AF116065.1_50-133	U86780.1_233-316
2650	AY371144.1_59-142	AY451090.1_148-231
2651	AF326166.1_62-145	AY451094.1_148-231
2652	AY451211.1_146-229	AY463225.1_303-386
2653	Z97108.1_19-102	AF470702.1_65-148
2654	Z97098.1_19-102	AF491253.1_65-148
2655	AF049337.1_220-303	AF480722.1_11-94
2656	AY288909.1_65-148	AF543966.1_38-121
2657	AF084716.1_65-148	AF490974.1_65-148
2658	AF084708.1_65-148	AF155541.1_65-148
2659	AF084713.1_65-148	AY371168.1_59-142
2660	AY451143.1_147-230	AF386056.1_65-148
2661	AF069942.1_65-148	AY038250.1_65-148
2662	AB081212.1_65-148	AF386032.1_65-148
2663	AY451080.1_148-231	AF061641.1_256-339
2664	U56346.1_30-113	AY125894.1_65-148
2665	M26727.1_400-483	AF067159.1_232-315
2666	AY463234.1_304-387	AF281769.1_65-148
2667	U68510.1_65-148	AF082394.1_177-260
2668	AY038240.1_65-148	AB115506.1_65-148
2669	AF361871.1_61-144	AY451081.1_148-231
2670	U29247.1_65-148	AB081215.1_65-148
2671	AF443091.1_230-313	AY451152.1_147-230
2672	U88822.1_371-454	AF084751.1_65-148
2673	U56345.1_67-150	U56891.1_65-148
2674	AY118159.1_400-483	AF544010.1_65-148
2675	AB081745.1_65-148	Z97082.1_19-102
2676	AJ276595.1_171-254	AY451163.1_147-230
2677	Z79532.1_65-148	AJ437047.1_65-148
2678	Z79573.1_65-148	AF418365.1_65-148
2679	AF391252.1_65-148	U29421.1_65-148
2680	AY262830.1_59-142	AF484501.1_59-142
2681	AF070521.1_854-937	AY158534.1_203-286
2682	AB081743.1_65-148	AF146728.1_180-263
2683	AF017898.1_10-93	AF529660.1_65-148
2684	AY423381.1_382-465	L11773.1_65-148
2685	U29420.1_65-148	AF457075.1_59-142
2686	AY288848.1_65-148	AJ404321.1_65-148
2687	AF030952.1_65-148	AY282197.1_65-148
2688	AY451149.1_147-230	AF361878.1_60-143
2689	AF492623.1_223-306	L11787.1_65-148
2690	AF423760.1_304-387	AB044066.1_65-148
2691	AB078005.1_809-892	AF457069.1_59-142
2692	Z79557.1_65-148	AY463229.1_303-386
2693	AF484507.1_59-142	AY134959.1_65-148
2694	AF543976.1_38-121	AY134934.1_65-148
2695	AF071473.1_59-142	AY178927.1_20-103
2696	AF529652.1_65-148	AY451144.1_147-230
2697	AF408627.1_303-386	AB115519.1_65-148
2698	AF255928.1_20-103	AY206663.1_65-148
2699	AY463228.1_303-386	AB083568.1_65-148
2700	AF030954.1_65-148	AF281696.1_65-148
2701	AB044074.1_65-148	AF155542.1_65-148
2702	AF418368.1_65-148	AB034900.1_65-148
2703	AF386038.1_65-148	AF061642.1_257-340
2704	AF332867.1_388-471	AF457085.1_59-142
2705	AB034901.1_65-148	AB034869.1_75-158
2706	AF543963.1_38-121	AF069140.1_851-934
2707	AF084702.1_64-148	AF460974.1_232-315
2708	AF470705.1_65-148	AF386028.1_65-148
2709	AF457062.1_59-142	AY178926.1_20-103
2710	AY463223.1_303-386	U56350.1_20-103
2711	AY451228.1_148-231	AY371166.1_59-142
2712	AY371142.1_59-142	U29259.1_65-148
2713	AB081214.1_65-148	AY451114.1_148-231
2714	AB115516.1_65-148	AY451134.1_148-231
2715	AB034890.1_65-148	AF442568.1_220-303
2716	AF326169.1_62-145	U56355.1_8-91
2717	AF484493.1_59-142	AF418495.1_65-148
2718	AY139456.1_35-118	AF004885.1_318-401
2719	AB044047.1_65-148	AY288840.1_65-148
2720	AJ294941.1_150-233	AF286224.1_201-284
2721	AY371121.1_59-142	AF067155.1_232-315
2722	AY288874.1_65-148	AF115393.1_244-327
2723	AF481782.1_65-148	AY288888.1_65-148
2724	AF490973.1_65-148	AY463235.1_304-387
2725	AY206647.1_65-148	Z79530.1_65-148
2726	U86779.1_112-195	AY134967.1_65-148
2727	AF457073.1_59-142	AF480684.1_11-94
2728	AY173958.1_202-285	AF084670.1_65-148
2729	Z97096.1_19-102	AY253856.1_65-148
2730	AF197338.1_813-896	AF481778.1_65-148
2731	AY037284.1_65-148	AF289548.1_233-316
2732	AF084653.1_65-148	AY371151.1_59-142
2733	AB078688.1_65-148	AB074063.1_116-199
2734	AF084647.1_65-148	AF539406.1_314-397
2735	Z79540.1_65-148	L11783.1_65-148
2736	AB115513.1_65-148	AF418460.1_48-131
2737	AY162223.1_856-939	U29260.1_65-148
2738	AF017978.1_25-108	AF413962.1_151-234
2739	AY451175.1_148-231	AB025075.1_65-148
2740	AF391268.1_65-148	AY161881.1_173-256
2741	AB025069.1_65-148	AF418367.1_65-148
2742	AB078704.1_65-148	AF443113.1_230-313
2743	AB042491.1_65-148	AF084936.1_839-922
2744	Z97134.1_19-102	L11769.1_65-148
2745	U29406.1_65-148	AB044058.1_65-148
2746	AB115514.1_65-148	AF484495.1_59-142
2747	U23487.1_800-883	AF030958.1_65-148
2748	AF110967.1_341-424	AY008718.1_61-144
2749	AF480731.1_11-94	AY463217.1_303-386
2750	Z97087.1_19-102	AY046058.1_143-226
2751	Z79570.1_65-148	AF069940.1_65-148
2752	AF443086.1_231-314	AB115526.1_65-148
2753	AF115449.1_65-148	AF017872.1_10-93
2754	AF084764.1_65-148	AB044052.1_65-148
2755	AF457077.1_59-142	AF418439.1_65-148
2756	AY451153.1_147-230	AB042481.1_65-148
2757	AJ437030.1_65-148	AF326171.1_62-145
2758	AB052867.1_864-947	AY451092.1_148-231
2759	AJ276596.1_173-256	AF121485.1_65-148
2760	AF281721.1_65-148	AF326148.1_62-145
2761	AB081216.1_65-148	Z79554.1_65-148
2762	AY288899.1_65-148	AY339791.1_61-144
2763	AY463227.1_304-387	AF418369.1_65-148
2764	AF361879.1_65-148	AY206649.1_65-148
2765	AF418362.1_65-148	AF386047.1_65-148
2766	AF017894.1_29-112	AF491247.1_65-148
2767	AF457065.1_59-142	AF386059.1_65-148
2768	Z97099.1_19-102	AB044073.1_65-148
2769	U56347.1_49-132	AF484484.1_59-142
2770	AY038248.1_65-148	U51188.1_896-979
2771	AF386016.1_65-148	AB115512.1_65-148
2772	AF067158.1_232-315	AF484481.1_59-142
2773	AB074067.1_85-168	AY371150.1_59-142
2774	AF543978.1_38-121	AF484502.1_59-142
2775	U68519.1_65-148	AF110968.1_341-424
2776	AF121474.1_65-148	AF443100.1_230-313
2777	AF418389.1_65-148	AB042488.1_65-148
2778	AB115537.1_65-148	AF418324.1_48-131
2779	AF386057.1_65-148	AF155537.1_65-148
2780	AB081207.1_65-148	AF255930.1_20-103
2781	AF386035.1_65-148	AF457091.1_59-142
2782	AF281757.1_65-148	AF110976.1_344-427
2783	AF457083.1_59-142	AF017900.1_10-93
2784	AB042486.1_65-148	AY178918.1_20-103
2785	AY451165.1_147-230	AF491240.1_65-148
2786	AF069669.1_59-142	AF084759.1_65-148
2787	AF115445.1_65-148	AF457067.1_59-142
2788	AF128998.1_182-265	U07238.1_71-154
2789	AJ437036.1_65-148	AF529638.1_65-148
2790	AF470703.1_44-127	AB015939.1_65-148
2791	AF017979.1_25-108	AF481779.1_65-148
2792	AY206664.1_65-148	AB078686.1_65-148
2793	AY371152.1_59-142	AF121502.1_65-148
